Código,Umidade,Cinzas,Lipídios ,Proteínas,Mg 24 (ug/g),Fe 57 (ug/g),Ag 107 (ng/g),Al 27 (ug/g),Ba 138 (ug/g),Co 59 (ng/g),Cu 63 (ug/g),Zn 66 (ug/g),Se 82 (ng/g),Ti 205 (ng/g),Li 7 (ng/g),Rb 85 (ug/g),Sr 88 (ug/g),Cs 133 (ng/g),Mn 55 (ng/g),Ni 60 (ng/g),U 238 (ng/g),Sb 121 (ng/g),Sn 118 (ng/g),Te 130 (ng/g),Hg 202 (ng/g),As 75 (ng/g),Cd 111 (ng/g),Pb 208 (ng/g)
006C,76.57,4.41,18.55,92.85,79.6,2.72,0.56,0.01,0.01,3.6,0.58,18.47,500.69,5.24,5.3,79.09,0.01,221.13,210.25,0.01,0.14,1.77,9.89,0.65,3435.75,63.42,3.87,0.01
029C,71.17,4.56,17.68,86.08,615.04,46.64,0.44,726.79,34.31,6.95,2.09,24.22,737.03,1.74,2.73,87.23,274.5,1622.04,217.62,77.49,0.2,6.13,21.54,0.01,0.01,5.5,33.63,182.05
038C,72.26,3.7,22.44,85.21,297.82,23.71,0.01,0.01,0.01,4.84,1.82,48.86,437.4,2.32,10.06,101.83,241.04,473.04,47.92,0.01,0.01,0.0,6.91,0.02,6.18,8.7,9.41,0.01
041C,73.06,4.51,24.58,90.53,313.0,21.01,0.01,12056.64,0.01,4.49,3.52,25.64,339.99,1.95,3.53,39.43,46.55,639.45,97.52,32.5,0.18,3.13,23.2,0.1,3.31,6.54,0.9,0.01
043C,75.58,4.52,20.24,87.68,194.56,25.26,0.01,0.01,0.01,12.52,3.33,58.91,552.87,2.15,38.13,68.99,59.23,430.14,132.09,6.71,0.01,0.46,6.13,0.01,0.01,6.5,2.69,0.01
044C,76.52,4.75,5.22,87.16,837.22,53.36,0.01,0.01,147.06,8.15,2.4,84.28,850.46,1.24,9.95,82.1,317.03,1320.23,165.03,38.23,0.02,0.17,13.19,0.08,5.32,10.1,4.15,22.84
047C,73.73,4.51,32.34,82.85,609.8,71.34,0.03,0.01,160.85,18.38,7.07,62.37,976.12,7.13,1.56,55.54,142.91,177.42,319.35,4.47,0.1,0.77,32.46,0.04,696.64,10.61,7.47,24.95
049C,71.61,4.75,20.23,80.96,94.07,8.06,0.01,0.01,0.01,15.91,3.43,15.52,685.34,7.13,11.01,64.27,30.61,786.37,108.99,0.01,0.03,0.01,42.27,0.68,56.32,13.74,7.97,0.01
050C,69.58,5.01,18.7,83.72,69.23,11.82,0.01,0.01,0.01,4.31,3.43,15.89,806.16,1.62,16.14,60.41,0.01,754.55,106.62,0.01,0.01,0.01,20.54,0.34,66.41,9.57,13.11,0.01
053C,73.36,3.54,28.58,51.27,67.58,2.65,0.01,0.01,0.01,7.96,1.24,32.92,1262.95,8.22,10.9,10.13,0.01,391.48,15.6,10.18,0.07,3.39,16.72,2.24,11189.22,43.81,3.86,0.01
054C,76.7,5.14,20.79,84.97,382.8,33.75,0.01,0.01,59.24,8.78,3.79,67.38,1032.59,4.02,30.42,92.62,143.87,1770.08,264.39,0.01,0.07,11.86,25.52,0.47,0.01,12.34,0.56,394.15
055C,73.28,4.77,21.54,93.33,185.13,6.94,0.01,0.01,0.01,4.55,0.94,16.33,560.73,1.01,139.63,60.75,79.53,453.65,24.99,5.952500000000001,0.01,3.23,5.41,0.01,0.01,5.16,2.71,15.43
056C,74.28,3.99,19.96,70.74,204.76,14.7,8.51,0.01,0.01,2.74,1.98,45.48,560.62,5.9,107.97,77.1,59.04,1265.13,62.43,3.85,0.04,0.92,23.0,0.13,46.58,4.93,1.2,1.88
061C,72.1,4.17,16.34,91.07,152.93,190.97,0.01,0.01,0.01,6.56,2.58,67.26,917.32,16.72,3.47,41.09,22.35,513.86,150.42,0.01,0.03,0.38,4.79,1.37,67925.22,21.11,4.63,2.38
065C,74.18,3.72,27.66,62.24,111.39,22.08,0.01,0.01,0.01,14.51,2.29,119.56,511.19,8.82,1.95,42.48,0.01,180.36,386.14,0.01,0.01,0.01,14.01,0.57,38039.93,6.54,1.54,0.01
070C,77.25,4.91,16.25,88.02,348.35,5.94,0.01,0.01,0.01,2.69,0.62,46.57,500.13,12.97,2.01,67.24,76.58,849.29,209.94,0.01,0.09,2.87,9.33,2.18,36492.71,6.9,2.87,0.01
071C,70.02,4.65,12.9,81.74,29.94,169.27,0.01,0.01,0.01,30.88,11.95,17.79,947.08,3.15,1.86,23.91,0.01,32.85,394.83,0.01,0.01,1.41,10.32,1.33,13416.19,24.65,66.38,0.01
090C,71.63,4.92,18.89,86.98,199.09,39.26,0.01,0.01,0.01,6.77,4.02,20.11,404.28,3.6,10.49,82.6,13.19,724.23,1000.5,0.01,0.02,0.5,22.0,0.29,70.87,7.99,7.84,0.01
FLA01C,75.36,3.1,13.02,83.67,264.69,0.7,0.01,1507.0887500000001,0.01,294.38,4.43,46.57,1.47,6.92,18.21,50.4,9.93,0.4,0.62,463.33,10.82,45.84,39.43,0.17125,0.03,13.82,502.09,7289.14
FLA03C,77.95,4.36,19.03,99.26,829.0,0.01,0.01,1507.0887500000001,670.99,101.65,0.97,84.55,0.82,15.46,3.45,162.57,2.4,1.1,0.67,72.91,1.62,0.34,10.9,0.14125000000000001,3.29,8.0,101.37,163.15
FLA06C,74.61,4.55,14.08,79.99,807.84,4.72,0.01,1507.0887500000001,413.47,50.56,5.09,35.38,1.6,2.93,20.13,199.05,3.99,2.94,0.4,60.94,0.28,5.93,8.31,0.14125000000000001,0.01,5.61,75.53,127.9
FLA07C,77.18,4.53,20.25,90.5,860.03,0.01,0.67875,3628.3475,1150.15,57.34,4.09,109.12,0.68,9.07,9.3,162.88,1.39,0.87,0.56,83.07,0.68,2.07,26.28,0.1475,5.8,8.16,32.9,201.46
FLA09C,72.31,3.36,22.26,82.23,494.33,23.15,0.6812499999999999,3628.3475,3397.56,60.48,4.17,98.29,1.76,1.82,98.96,97.31,4.81,1.35,0.82,49.83,0.52,0.92,16.85,0.10625000000000001,0.04,12.36,30.97,180.59
FLA10C,76.55,4.05,21.68,78.7,782.2,0.01,0.6812499999999999,3628.3475,2862.54,135.66,1.15,82.69,0.85,9.46,5.66,136.81,1.77,0.82,0.57,136.9,0.97,0.58,10.72,0.10625,5.33,10.2,99.44,225.86
009C,70.43,4.77,21.65,75.48,424.75,121.86,8.83,0.01,0.01,33.39,9.0,45.91,816.2,4.44,20.5,24.55,5.59,10.37,510.99,27.84,0.27,1.75,5.26,0.35,835.14,28.95,28.89,5.48
015C,74.06,3.9,15.71,90.98,551.16,88.25,5.36,16970.08,328.37,14.17,3.12,66.94,763.35,2.3,6.62,34.23,346.7,280.45,655.59,85.68,3.09,1.51,11.79,0.12,56.53,13.36,31.36,50.43
020C,69.16,4.74,24.94,81.01,800.41,8.0,0.01,0.01,0.01,4.18,0.95,12.5,624.08,1.42,11.97,50.35,272.16,953.58,62.81,23.41,0.19,0.7,4.54,0.13,39.78,3.58,2.91,0.01
021C,72.68,4.75,13.33,86.98,626.75,11.28,2.17,0.01,0.01,6.22,0.77,14.52,508.87,1.23,2.58,36.51,104.59,824.02,82.51,95.2,0.12,0.01,6.42,0.01,13.06,6.97,2.65,0.01
022C,73.26,4.69,16.68,93.5,199.89,10.21,0.01,0.01,0.01,4.72,2.33,32.4,1017.84,1.62,2.93,111.69,77.7,1237.61,50.62,2.81,0.15,0.01,0.01,0.24,31.37,4.63,6.15,0.01
025C,73.61,4.65,18.53,85.46,239.49,1.8,0.01,0.01,0.01,2.23,0.91,14.84,491.16,1.46,5.01,69.03,72.17,205.27,23.16,17.94,0.09,0.01,7.24,0.01,30.13,3.02,1.09,0.01
026C,72.24,5.08,37.04,68.74,250.97,4.56,0.01,0.01,0.01,4.52,1.6,21.04,601.56,1.68,7.19,77.81,72.55,908.93,45.09,16.79,0.07,0.05,5.2,0.06,84.8,5.28,2.31,0.01
027C,72.36,4.42,21.18,84.04,391.53,27.97,0.01,0.01,0.01,3.08,2.46,31.52,605.75,1.3,2.81,77.63,90.42,1252.61,61.77,1.74,0.17,1.27,7.0,0.03,11.67,5.3,4.99,3.54
033C,72.82,4.43,40.32,61.14,395.71,17.75,0.01,0.01,0.01,7.49,2.01,27.06,680.79,2.06,48.09,68.08,162.99,837.63,102.96,6.54,0.14,0.74,2.67,0.11,32.93,8.42,5.41,6.97
035C,72.14,4.63,22.23,79.66,243.68,1.18,0.01,0.01,0.01,2.75,1.3,16.84,418.45,2.22,85.41,51.06,44.06,580.68,30.53,8.66,0.06,0.04,2.7,0.07,38.94,9.01,0.29,0.01
036C,72.69,4.44,24.58,82.1,221.18,7.64,0.01,0.01,0.01,2.87,2.8,28.23,1428.1,2.21,78.26,87.53,80.89,3579.68,40.26,10.94,0.16,1.21,1.3,0.17,53.37,8.39,6.17,0.01
037C,71.73,5.23,25.15,82.9,157.77,5.79,0.01,0.01,0.01,6.17,1.61,23.71,777.83,1.61,4.2,85.36,44.06,1269.91,13.14,3.26,0.07,0.09,0.01,0.11,13.16,6.45,3.52,0.01
039C,72.11,4.19,26.66,81.64,257.01,11.06,0.01,0.01,0.01,10.23,2.17,35.17,703.45,25.6,3.41,70.05,232.27,631.18,36.88,9.08,0.29,0.03,13.28,0.4,22.93,9.88,6.39,0.01
001C,72.76249999999999,4.26,24.53,98.09,541.75,2.27,0.01,0.01,0.01,0.83,0.5,37.95,439.89,4.81,2.38,44.54,28.87,148.95,44.93,103.04,0.08,2.09,0.01,1.59,8203.12,74.17,1.23,9.24
002C,72.49125000000001,5.29,13.3,87.35,319.97,18.54,2.08,0.01,0.01,31.73,1.17,143.88,415.65,2.61,6.38,96.15,24.16,214.13,464.15,35.47,0.9,2.26,19.88,1.99,3533.91,147.31,9.77,0.01
003C,73.88250000000001,3.95,23.75,86.73,524.67,110.17,0.01,0.01,0.01,10.6,4.02,113.61,208.52,5.34,196.88,30.63,32.57,205.9,448.24,22.82,0.27,0.57,2.52,0.26,6.44,73.73,72.92,0.01
004C,73.81125,3.64,12.43,93.53,100.23,79.99,0.01,0.01,0.01,19.2,4.02,71.89,87.3,3.06,5.3,24.95,12.4,111.69,58.77,49.63,0.22,6.03,5.63,0.29,0.01,33.35,260.01,347.02
005C,72.48875000000001,4.56,11.56,87.15,416.12,11.44,0.01,0.01,0.01,3.14,0.63,14.98,463.45,8.5,1.55,35.45,36.7,118.01,247.94,137.04,0.13,5.16,0.01,1.84,4360.11,105.45,2.49,11.39
007C,72.52125,5.2,19.11,84.82,137.13,5.57,0.01,0.01,0.01,8.4,1.66,44.26,946.38,21.4,29.63,76.74,2.52,187.25,264.42,145.95,0.13,0.11,0.81,0.5,4.92,23.2,160.65,18.92
008C,72.52125000000001,5.23,20.33375,83.0,174.14,11.59,0.01,0.01,0.01,4.83,1.67,61.04,980.41,15.35,13.06,86.56,0.01,125.73,279.97,120.76,0.37,0.34,0.81,0.21,0.5,13.38,22.86,18.78
010C,72.52125000000001,4.65,15.27,97.19,71.44,2.26,0.01,0.01,0.01,14.47,2.14,11.83,463.39,331.11,18.14,72.64,28.91,184.41,25.81,134.86,0.27,0.08,2.14,0.46,56.31,22.69,610.55,30.09
011C,73.81125,4.41,23.76,92.0,85.64,19.47,0.01,0.01,0.01,11.79,0.01,0.01,0.01,0.01,0.01,0.36,0.01,1.84,0.01,0.01,0.01,0.79,0.01,0.01,287.28,0.01,0.01,0.01
013C,72.8425,4.82,22.805,87.67,203.31,7.44,0.01,0.01,444.21,18.61,1.38,44.65,497.51,9.33,2.95,35.24,146.38,70.53,2214.39,158.7,1.58,4.17,4.97,2.64,2673.07,350.33,10.35,18.75
014C,72.6225,3.38,42.68,77.42,111.09,39.04,8.09,0.01,0.01,14.7,3.14,108.23,264.1,2.46,30.48,45.25,173.76,1361.97,107.38,46.34,1.91,0.01,0.01,0.41,12.98,6.26,95.05,13.03
017C,72.965,4.5,22.5,88.79,764.73,69.64,1.93,0.01,39.55,8.17,3.07,43.36,2508.74,2.7,14.47,109.06,358.34,1507.15,295.73,35.81,0.47,6.09,0.24,0.23,92.82,4.45,5.41,11.58
018C,72.99000000000001,4.67,20.95,87.7,180.47,34.46,0.01,0.01,0.01,4.43,4.4,77.44,925.1,1.58,3.57,77.2,50.18,587.42,227.52,123.22,0.17,28.8,2.38,0.01,41.17,5.57,10.43,2017.9
019C,72.235,5.11,28.81,134.25,48.37,1.67,0.01,0.01,0.01,2.6,2.66,13.18,567.66,1.02,6.82,65.58,11.17,1049.67,36.04,107.48,0.19,0.15,1.49,0.01,80.21,9.04,6.86,50.59
023C,72.20375,4.72,17.31,80.97,150.86,1.18,0.01,0.01,0.01,2.98,1.28,26.38,832.85,1.48,1.11,80.34,102.29,868.64,19.13,14.92,0.18,0.21,2.35,0.16,14.03,3.15,2.46,0.01
024C,72.87125,4.45,18.85,80.13,530.53,40.15,2.41,0.01,0.01,6.09,2.86,51.04,1221.97,2.12,13.86,74.8,267.15,293.31,194.54,23.93,0.47,0.39,10.24,0.06,134.31,4.26,5.24,1.38
028C,72.45375,4.59,29.595,97.09,133.12,2.45,0.01,0.01,0.01,2.68,1.22,25.48,1316.38,12.17,10.6,15.06,35.62,490.1,13.56,8.23,0.21,1.78,3.03,0.61,5814.51,38.07,3.05,0.01
030C,75.035,4.98,7.64,97.62,167.74,26.37,0.01,7009.22,1323.53,29.4,2.33,53.12,1564.88,25.79,3.2,6.0,372.51,184.62,214.9,19.77,2.91,626.49,1.1,0.01,2920.87,46.08,11.44,31175.25
031C,73.5325,9.88,33.95,87.44,279.76,16.23,0.01,0.01,11.63,4.64,2.72,64.6,527.67,1.72,10.57,78.3,307.79,1735.52,176.67,5.9,0.15,0.45,0.01,0.01,1649.49,49.48,2.01,3.54
032C,73.455,5.12,18.05,79.49,67.55,30.82,0.01,0.01,10.44,10.58,5.15,20.32,916.13,31.42,3.85,29.74,5.6,213.98,355.57,7.5,0.22,3.88,0.92,22.26,35916.97,4.66,35.35,365.44
034C,72.38624999999999,3.68,41.78,79.92,398.06,48.03,0.01,0.01,6.57,8.77,2.59,62.14,1442.79,4.92,7.08,22.43,283.77,257.94,159.58,49.99,0.35,13.48,10.04,0.49,4650.95,9.5,3.31,706.65
045C,72.90875,3.75,9.42,81.72,111.33,25.06,0.84,0.01,0.01,5.67,1.0,41.42,140.58,9.48,4.33,59.54,133.02,482.06,130.53,63.46,0.07,0.6,8.88,0.28,1020.47,7.89,187.56,17.44
046C,72.39250000000001,4.08,28.45,78.82,368.72,75.52,0.01,0.01,53.2,18.99,6.35,72.23,1289.21,8.8,2.75,54.11,63.53,415.3,331.23,152.08,0.21,0.52,10.97,0.99,607.93,11.81,11.64,63.98
048C,72.89250000000001,4.65,21.35,92.66,383.61,28.74,1.16,0.01,58.41,16.9,2.97,54.95,818.65,6.28,4.85,52.73,107.97,228.37,161.48,0.97,0.06,1.27,13.68,0.28,823.84,13.31,1.99,14.73
051C,72.52125000000001,5.05,23.62,82.98,9.73,4.68,0.01,0.01,0.01,2.12,3.01,12.62,627.88,6.07,3.86,50.59,0.83,381.91,69.11,0.01,0.01,1.84,5.71,0.01,19.66,6.0,3.15,43.66
052C,73.5325,5.1,4.66,96.48,150.23,6.85,0.01,0.01,0.01,5.66,1.6,19.84,963.2,3.05,23.24,97.71,48.21,1827.49,54.33,0.01,0.01,0.01,3.43,0.01,0.01,4.91,21.48,0.01
057C,72.87125,4.51,14.12,66.77,432.06,51.19,1.1,0.01,0.01,7.29,2.78,100.46,963.2,15.41,2.88,59.46,100.86,353.2,319.57,170.0,0.4,0.97,13.87,0.11,192.29,6.38,10.11,41.43
059C,73.08375000000001,4.65,9.07,94.82,1068.92,56.8,6.7,321.44,24.06,7.81,2.49,31.44,1054.51,2.03,51.0,93.58,181.38,1382.93,270.92,60.15,0.37,1.3,6.69,0.23,195.95,5.63,4.0,18.23
062C,73.18875,4.43,14.2,88.2,683.5,45.76,0.28,1565.17,0.01,4.58,2.38,27.94,4340.77,2.88,22.02,78.8,372.63,1103.35,234.95,29.89,0.57,0.4,5.32,0.12,365.8,5.36,7.04,0.01
064C,75.04124999999999,4.49,12.74,89.17,912.96,15.58,0.01,1507.0887500000001,211.81,27.36,6.04,56.72,5.74,5.34,18.67,178.63,1.37,1.2,0.32,83.32,0.34,1.23,8.08,0.14125000000000001,0.03,15.37,36.24,170.19
066C,76.09125,4.7,12.9,90.35,630.3,0.01,0.01,1507.0887500000001,385.85,26.1,4.57,56.32,3.07,3.15,22.01,254.07,1.83,4.51,0.39,50.8,0.37,1.43,12.24,0.14125000000000001,0.06,9.9,26.37,146.73
072C,73.69625,4.35,62.99,79.88,481.27,8.83,0.01,24.65,0.01,3.37,1.22,99.7,877.33,1.6,2.45,97.35,161.59,1672.42,271.43,6.44,0.13,1.13,15.81,0.48,3246.83,284.44,1.61,0.01
091C,72.195,4.38,30.1,78.2,117.43,227.87,0.01,0.01,0.01,27.68,13.49,22.73,943.45,5.3,3.57,33.34,0.01,44.47,519.28,0.01,0.01,0.12,33.0,0.63,8020.05,16.48,9.17,0.01
101C,71.96374999999999,2.65,52.44,61.88,378.72,22.68,0.01,0.01,0.01,3.09,1.77,40.54,933.01,2.45,5.85,87.67,179.02,989.21,143.82,0.01,0.03,9.85,31.45,0.15,5.08,6.89,3.11,74.44
102C,72.6225,4.56,22.9,116.47,303.24,9.28,0.01,0.01,0.01,4.56,1.63,19.16,582.82,1.45,0.19,118.66,105.81,1110.21,37.01,0.01,0.01,0.96,7.75,0.24,0.01,6.14,2.75,20.98
103C,72.52125000000001,4.6,19.16,89.9,161.17,11.29,0.01,0.01,0.01,3.01,2.26,22.96,378.07,1.31,46.34,55.52,6.42,401.74,89.62,5.2,0.01,0.99,12.45,0.37,2.21,3.46,0.88,0.01
104C,73.58875,4.5,15.91,85.35,210.77,12.06,0.01,0.01,0.01,4.82,2.96,17.59,1361.21,7.57,5.53,89.07,6.14,3353.75,122.78,0.01,0.01,0.68,40.59,0.37,126.93,7.74,13.68,0.01
105C,73.5325,4.6,16.79,81.58,85.18,4.24,0.01,0.01,0.01,2.06,1.62,16.46,743.87,1.8,8.12,78.55,20.39,2062.13,56.66,0.01,0.01,0.26,28.26,0.14,7.66,6.16,3.58,0.01
106C,72.21375,4.36,13.81,91.7,312.93,38.57,0.01,0.01,0.01,2.95,2.24,73.03,569.71,1.08,344.74,49.28,26.17,964.95,126.24,0.01,0.01,0.25,17.1,0.47,29.44,6.3,4.03,0.01
FLA02C,73.93,2.15,21.66,65.5,42.03,14.61,0.01,0.01,107.7,111.63,2.39,70.22,0.51,1.06,3.91,19.35,0.76,0.38,0.23,157.49,0.56,1.48,7.78,0.09125,0.01,2.92,95.19,62.69
FLA04C,76.09125,4.28,39.29,88.6,735.46,39.67,0.01,1507.0887500000001,574.32,98.54,3.85,76.97,2.11,2.84,21.77,140.77,3.12,3.88,0.67,89.02,1.45,2.25,38.3,0.14125000000000001,0.06,4.84,77.73,205.23
FLA05C,76.09125,4.34,13.86,87.8,784.3,14.02,0.67875,3628.3475,915.86,58.14,3.37,41.16,1.44,3.75,29.88,198.86,2.88,4.14,0.42,83.92,0.58,1.36,38.01,0.14750000000000002,0.03,7.18,60.86,147.0
FLA08C,76.09125,5.07,21.43,79.99,992.25,0.01,0.01,1507.0887500000001,588.48,72.43,6.5,75.2,3.7,3.62,250.46,219.46,1.65,5.49,0.63,35.65,0.62,0.44,80.29,0.14125000000000001,0.16,8.48,42.18,152.04
FLA11C,76.09125,3.88,16.23,67.02,905.48,29.47,0.01,1507.0887500000001,224.42,54.52,5.97,55.14,1.43,3.08,3.44,221.26,0.44,0.65,0.72,87.46,0.66,0.71,19.1,0.14125000000000001,0.13,5.63,31.29,255.13
LOR005C,74.65875,4.69,24.3,82.79,578.32,2151.05,2.895,2121.26875,293.55,345.77,167.66,201.23,5.91,11.39,20.68,163.57,0.2,0.06,24.88,65.3,3.96,7.09,0.01,0.33375,0.06,55.34,16440.71,932.7
LOR008C,74.54124999999999,4.33,16.77,84.9,199.42,29.66,0.01,0.01,147.17,39.71,11.63,160.78,0.37,3.96,21.4,114.14,0.32,0.2,1.49,28.86,0.24,9.07,3.2,0.17875,0.02,15.58,300.46,400.86
LOR001C,74.54,4.317500000000001,21.485,85.88374999999999,444.03,34.04,0.68125,3628.3475,4898.93,37.28,8.57,86.45,2.05,4.53,40.4,88.65,2.5,0.09,2.39,359.02,0.93,7.15,131.74,0.08249999999999999,0.14,284.66,20.36,153.91
LOR007C,77.17,4.03125,19.51875,85.84875,428.72,31.32,0.01,0.01,74.22,57.27,7.79,228.08,3.27,5.99,144.13,112.1,0.28,0.19,0.44,153.77,0.25,3.07,12.22,0.24,0.02,26.73,1841.17,167.35
LOR002C,81.46,4.54,19.197499999999998,88.20750000000001,420.65,141.16,0.01,1507.0887500000001,1041.39,25.48,17.38,245.98,0.4,20.31,19.09,68.85,2.32,0.06,2.15,58.54,0.45,2.47,28.54,0.13375,0.06,23.53,20.21,101.33
LOR003C,74.76,4.45875,18.695,85.2725,934.0,36.8,0.01,1507.0887500000001,644.29,34.93,4.77,88.92,4.63,43.33,10.93,259.22,1.26,0.28,1.43,72.27,0.31,3.84,39.19,0.14125000000000001,0.11,31.71,20.13,104.42
LOR004C,76.9,4.45875,18.695,85.27250000000001,596.56,46.72,0.01,1507.0887500000001,398.33,29.47,4.36,76.4,0.51,13.59,26.42,139.76,1.02,0.18,1.32,134.92,0.38,4.25,59.38,0.14125,0.09,43.99,27.24,102.26
LOR006C,73.93,4.14125,17.560000000000002,87.35374999999999,75.68,23.74,0.01,0.01,73.78,71.87,49.84,61.53,2.49,3.24,19.13,136.33,0.12,0.19,0.67,30.12,0.28,0.81,43.71,0.17875,0.03,31.75,266.81,70.49
